"yr","share","n","smooth"
1991,0.666666666666667,18,0.5
1992,0.428571428571429,14,0.530612244897959
1993,0.25,8,0.566666666666667
1994,0.666666666666667,9,0.529411764705882
1995,0.727272727272727,11,0.54
1996,0.555555555555556,9,0.653061224489796
1997,0.461538461538462,13,0.588235294117647
1998,1,7,0.565217391304348
1999,0.363636363636364,11,0.574468085106383
2000,0.666666666666667,6,0.688888888888889
2001,0.6,10,0.659090909090909
2002,0.909090909090909,11,0.692307692307692
2003,0.833333333333333,6,0.6
2004,0.333333333333333,6,0.666666666666667
2005,0.481481481481481,27,0.666666666666667
2006,0.875,16,0.653333333333333
2007,0.769230769230769,26,0.635135135135135
2009,0,5,0.553846153846154
2010,0.451612903225806,31,0.490909090909091
2011,0.666666666666667,3,0.483333333333333
2012,0.6875,16,0.48936170212766
2013,0.4,5,0.5
2014,0.435897435897436,39,0.552631578947368
2015,0,1,0.516666666666667
2016,0.8,15,0.517241379310345
2018,0.333333333333333,3,0.516129032258065
2019,0.2,15,0.5
2020,0.551724137931034,29,0.508196721311475
2021,0.818181818181818,11,0.5625
2022,0.666666666666667,3,0.580645161290323
2023,1,6,0.606060606060606
2024,0.230769230769231,13,0.5
