"name_en","ministry","years","still_in","president","pres_lab"
"Arsen Avakov","Internal Affairs",7.39,FALSE,"poroshenko","Poroshenko"
"Mykhailo Fedorov","Digital Transformation",6.38,FALSE,"zelensky","Zelensky"
"Serhii Marchenko","Finance",6.29,TRUE,"zelensky","Zelensky"
"Yuriy Kravchenko","Internal Affairs",5.73,FALSE,"kuchma","Kuchma"
"Yuriy Kostenko","Environment",5.53,FALSE,"kravchuk","Kravchuk"
"Pavlo Petrenko","Justice",5.5,FALSE,"poroshenko","Poroshenko"
"Oleh Nemchinov","Minister of the Cabinet",5.37,FALSE,"zelensky","Zelensky"
"Olexander Kuzmuk","Defense",5.29,FALSE,"kuchma","Kuchma"
"Pavlo Klimkin","Foreign Affairs",5.19,FALSE,"poroshenko","Poroshenko"
"Viktor Liashko","Healthcare",5.16,TRUE,"zelensky","Zelensky"
"Vasyl Kremen","Education & Science",5.1,FALSE,"kuchma","Kuchma"
"Denys Maliuska","Justice",5.02,FALSE,"zelensky","Zelensky"
"Valeriy Borzov","Youth & Sports",4.99,FALSE,"kravchuk","Kravchuk"
"Stepan Poltorak","Defense",4.87,FALSE,"poroshenko","Poroshenko"
"Ihor Mitiukov","Finance",4.83,FALSE,"kuchma","Kuchma"
"Mykhailo Kaskevych","Social Policy",4.78,FALSE,"kravchuk","Kravchuk"
"Hennadii Zubko","Regional Development",4.74,FALSE,"poroshenko","Poroshenko"
"Ihor Zhdanov","Youth & Sports",4.74,FALSE,"poroshenko","Poroshenko"
"Yuriy Stets","Information Policy",4.74,FALSE,"poroshenko","Poroshenko"
"Suzanna Stanik","Justice",4.71,FALSE,"kuchma","Kuchma"
