"ministry","med","n"
"Regional Development",0.747433264887064,13
"Economy",0.752908966461328,34
"Minister of the Cabinet",0.795345653661875,20
"Energy",0.848733744010951,31
"Healthcare",0.877481177275838,26
"Agrarian Policy",0.898015058179329,24
"Coal Industry",0.960985626283368,9
"Justice",0.993839835728953,18
"Culture",1.10609171800137,23
"Defense",1.1772758384668,25
"Industrial Policy",1.21834360027379,14
"Transport / Infrastructure",1.27173169062286,22
"Environment",1.34839151266256,22
"Social Policy",1.37166324435318,19
"Finance",1.43326488706365,20
"Youth & Sports",1.58247775496235,13
"Foreign Affairs",1.64134154688569,18
"Emergencies",1.84394250513347,12
"Internal Affairs",1.96851471594798,14
"Education & Science",2.55989048596851,15
