"period","name_en","span","bucket","n","share","total","median_y","reached_1y"
"between","Between revolutions","2004-2014","under 6 months",12,0.0930232558139535,129,1.16906228610541,0.589147286821705
"between","Between revolutions","2004-2014","6-12 months",41,0.317829457364341,129,1.16906228610541,0.589147286821705
"between","Between revolutions","2004-2014","1-2 years",46,0.356589147286822,129,1.16906228610541,0.589147286821705
"between","Between revolutions","2004-2014","2-4 years",30,0.232558139534884,129,1.16906228610541,0.589147286821705
"donbas","Donbas war","2014-2022","under 6 months",27,0.238938053097345,113,1.16906228610541,0.513274336283186
"donbas","Donbas war","2014-2022","6-12 months",28,0.247787610619469,113,1.16906228610541,0.513274336283186
"donbas","Donbas war","2014-2022","1-2 years",21,0.185840707964602,113,1.16906228610541,0.513274336283186
"donbas","Donbas war","2014-2022","2-4 years",23,0.20353982300885,113,1.16906228610541,0.513274336283186
"donbas","Donbas war","2014-2022","4+ years",14,0.123893805309735,113,1.16906228610541,0.513274336283186
"fullscale","Full-scale war","2022-2026","under 6 months",10,0.32258064516129,31,0.862422997946612,0.5
"fullscale","Full-scale war","2022-2026","6-12 months",10,0.32258064516129,31,0.862422997946612,0.5
"fullscale","Full-scale war","2022-2026","1-2 years",6,0.193548387096774,31,0.862422997946612,0.5
"fullscale","Full-scale war","2022-2026","2-4 years",5,0.161290322580645,31,0.862422997946612,0.5
"post-soviet","Post-Soviet transition","1991-2004","under 6 months",21,0.151079136690647,139,1.32511978097194,0.597122302158273
"post-soviet","Post-Soviet transition","1991-2004","6-12 months",35,0.251798561151079,139,1.32511978097194,0.597122302158273
"post-soviet","Post-Soviet transition","1991-2004","1-2 years",41,0.294964028776978,139,1.32511978097194,0.597122302158273
"post-soviet","Post-Soviet transition","1991-2004","2-4 years",32,0.23021582733813,139,1.32511978097194,0.597122302158273
"post-soviet","Post-Soviet transition","1991-2004","4+ years",10,0.0719424460431655,139,1.32511978097194,0.597122302158273
