"name_en","ministry_en","lineage","start","end","president","acting","still_in","runway","years","over","place"
"Anatolii Zlenko","Foreign Affairs","foreign",1991-08-24,1994-08-25,"kravchuk",FALSE,FALSE,1.1088295687885,3.00342231348392,1.89459274469541,"outlived it"
"Hennadii Udovenko","Foreign Affairs","foreign",1994-08-25,1998-04-17,"kuchma",FALSE,FALSE,0.528405201916496,3.64407939767283,3.11567419575633,"outlived it"
"Borys Tarasyuk","Foreign Affairs","foreign",1998-04-17,2000-09-29,"kuchma",FALSE,FALSE,1.68104038329911,2.45311430527036,0.772073921971252,"outlived it"
"Anatolii Zlenko","Foreign Affairs","foreign",2000-10-02,2003-09-02,"kuchma",FALSE,FALSE,0.654346338124572,2.91581108829569,2.26146475017112,"outlived it"
"Kostjantyn Hryščenko","Foreign Affairs","foreign",2003-09-02,2005-02-03,"kuchma",FALSE,FALSE,1.34428473648186,1.42368240930869,0.0793976728268309,"outlived it"
"Borys Tarasyuk","Foreign Affairs","foreign",2005-02-04,2007-01-30,"yushchenko",FALSE,FALSE,0.591375770020534,1.98494182067077,1.39356605065024,"outlived it"
"Volodymyr Ohryzko","Foreign Affairs","foreign",2007-01-31,2007-03-21,"yushchenko",TRUE,FALSE,0.878850102669405,0.134154688569473,-0.744695414099932,"left early"
"Arsenii Yatseniuk","Foreign Affairs","foreign",2007-03-21,2007-12-04,"yushchenko",FALSE,FALSE,0.744695414099932,0.706365503080082,-0.0383299110198494,"left with it"
"Volodymyr Ohryzko","Foreign Affairs","foreign",2007-12-18,2009-03-03,"yushchenko",FALSE,FALSE,2.22861054072553,1.20739219712526,-1.02121834360027,"left early"
"Volodymyr Khandohiy","Foreign Affairs","foreign",2009-03-03,2009-10-09,"yushchenko",FALSE,FALSE,1.02121834360027,0.602327173169062,-0.418891170431211,"left early"
"Petro Poroshenko","Foreign Affairs","foreign",2009-10-09,2010-03-11,"yushchenko",FALSE,FALSE,0.418891170431211,0.418891170431211,0,"left with it"
"Kostjantyn Hryščenko","Foreign Affairs","foreign",2010-03-11,2012-12-24,"yanukovych",FALSE,FALSE,2.78986995208761,2.78986995208761,0,"left with it"
"Leonid Kožara","Foreign Affairs","foreign",2012-12-24,2014-02-23,"yanukovych",FALSE,FALSE,1.09514031485284,1.16632443531828,0.0711841204654347,"outlived it"
"Andriy Deshchytsya","Foreign Affairs","foreign",2014-02-27,2014-06-19,"poroshenko",FALSE,FALSE,0.761122518822724,0.306639288158795,-0.454483230663929,"left early"
"Pavlo Klimkin","Foreign Affairs","foreign",2014-06-19,2019-08-29,"poroshenko",FALSE,FALSE,0.454483230663929,5.1937029431896,4.73921971252567,"outlived it"
"Vadym Prystaiko","Foreign Affairs","foreign",2019-08-29,2020-03-04,"zelensky",FALSE,FALSE,0.514715947980835,0.514715947980835,0,"left with it"
"Dmytro Kuleba","Foreign Affairs","foreign",2020-03-04,2024-09-05,"zelensky",FALSE,FALSE,5.36892539356605,4.50650239561944,-0.862422997946612,"left early"
"Andrii Sybiha","Foreign Affairs","foreign",2024-09-05,NA,"zelensky",FALSE,TRUE,0.862422997946612,1.8590006844627,0.996577686516085,"outlived it"
"Kostyantyn Morozov","Defense","defense",1991-09-03,1993-09-30,"kravchuk",FALSE,FALSE,1.08145106091718,2.07529089664613,0.993839835728953,"outlived it"
"Ivan Bizhan","Defense","defense",1993-10-04,1993-10-08,"kravchuk",TRUE,FALSE,0.698151950718686,0.0109514031485284,-0.687200547570157,"left early"
"Vitalii Radetskyi","Defense","defense",1993-10-08,1994-08-25,"kravchuk",FALSE,FALSE,0.687200547570157,0.878850102669405,0.191649555099247,"outlived it"
"Valerii Shmarov","Defense","defense",1994-08-25,1996-07-08,"kuchma",FALSE,FALSE,0.528405201916496,1.86995208761123,1.34154688569473,"outlived it"
"Olexander Kuzmuk","Defense","defense",1996-07-11,2001-10-24,"kuchma",FALSE,FALSE,0.974674880219028,5.28678986995209,4.31211498973306,"outlived it"
"Volodymyr Shkidchenko","Defense","defense",2001-11-12,2003-06-25,"kuchma",FALSE,FALSE,1.02395619438741,1.61533196440794,0.591375770020534,"outlived it"
"Yevhen Marchuk","Defense","defense",2003-06-25,2004-09-23,"kuchma",FALSE,FALSE,1.53319644079398,1.24845995893224,-0.284736481861738,"left early"
"Olexander Kuzmuk","Defense","defense",2004-09-24,2005-02-03,"kuchma",FALSE,FALSE,0.281998631074606,0.361396303901437,0.079397672826831,"outlived it"
"Anatolii Hrytsenko","Defense","defense",2005-02-04,2007-12-18,"yushchenko",FALSE,FALSE,0.591375770020534,2.86652977412731,2.27515400410678,"outlived it"
"Yurii Yekhanurov","Defense","defense",2007-12-18,2009-06-05,"yushchenko",FALSE,FALSE,2.22861054072553,1.46475017111567,-0.763860369609856,"left early"
"Valerii Ivashchenko","Defense","defense",2009-06-05,2010-03-11,"yushchenko",TRUE,FALSE,0.763860369609856,0.763860369609856,0,"left with it"
"Mykhailo Yezhel","Defense","defense",2010-03-11,2012-02-08,"yanukovych",FALSE,FALSE,2.78986995208761,1.91375770020534,-0.876112251882273,"left early"
"Dmytro Salamatin","Defense","defense",2012-02-08,2012-12-24,"yanukovych",FALSE,FALSE,0.876112251882272,0.876112251882272,0,"left with it"
"Pavlo Lebedyev","Defense","defense",2012-12-24,2014-02-27,"yanukovych",FALSE,FALSE,1.09514031485284,1.1772758384668,0.0821355236139631,"outlived it"
"Volodymyr Zamana","Defense","defense",2014-02-22,2014-02-27,"poroshenko",TRUE,FALSE,0.774811772758385,0.0136892539356605,-0.761122518822724,"left early"
"Ihor Tenyukh","Defense","defense",2014-02-27,2014-03-25,"poroshenko",TRUE,FALSE,0.761122518822724,0.0711841204654346,-0.68993839835729,"left early"
"Mykhailo Koval","Defense","defense",2014-03-25,2014-07-03,"poroshenko",TRUE,FALSE,0.68993839835729,0.27378507871321,-0.416153319644079,"left early"
"Valeriy Heletey","Defense","defense",2014-07-03,2014-10-14,"poroshenko",FALSE,FALSE,0.416153319644079,0.281998631074606,-0.134154688569473,"left early"
"Stepan Poltorak","Defense","defense",2014-10-14,2019-08-29,"poroshenko",FALSE,FALSE,0.134154688569473,4.87337440109514,4.73921971252567,"outlived it"
"Andriy Zahorodniuk","Defense","defense",2019-08-29,2020-03-04,"zelensky",FALSE,FALSE,0.514715947980835,0.514715947980835,0,"left with it"
"Andrii Taran","Defense","defense",2020-03-04,2021-11-03,"zelensky",FALSE,FALSE,5.36892539356605,1.66735112936345,-3.7015742642026,"left early"
"Oleksii Reznikov","Defense","defense",2021-11-04,2023-09-05,"zelensky",FALSE,FALSE,3.69883641341547,1.83436002737851,-1.86447638603696,"left early"
"Rustem Umerov","Defense","defense",2023-09-06,2025-07-17,"zelensky",FALSE,FALSE,1.86173853524983,1.86173853524983,0,"left with it"
"Denys Shmyhal","Defense","defense",2025-07-17,2026-01-13,"zelensky",FALSE,FALSE,0.996577686516085,0.492813141683778,-0.503764544832307,"left early"
"Mykhailo Fedorov","Defense","defense",2026-01-14,2026-07-15,"zelensky",FALSE,FALSE,0.501026694045175,0.498288843258042,-0.00273785078713207,"left with it"
"Andriy Vasylyshyn","Internal Affairs","interior",1991-08-24,1994-07-21,"kravchuk",FALSE,FALSE,1.1088295687885,2.90759753593429,1.79876796714579,"outlived it"
"Volodymyr Radchenko","Internal Affairs","interior",1994-07-21,1995-07-03,"kuchma",FALSE,FALSE,0.624229979466119,0.950034223134839,0.32580424366872,"outlived it"
"Yuriy Kravchenko","Internal Affairs","interior",1995-07-03,2001-03-26,"kuchma",FALSE,FALSE,0.903490759753593,5.73032169746749,4.8268309377139,"outlived it"
"Yuriy Smirnov","Internal Affairs","interior",2001-03-26,2003-08-27,"kuchma",FALSE,FALSE,0.175222450376454,2.42026009582478,2.24503764544832,"outlived it"
"Mykola Bilokon","Internal Affairs","interior",2003-08-27,2005-02-03,"kuchma",FALSE,FALSE,1.36071184120465,1.44010951403149,0.0793976728268309,"outlived it"
"Yuriy Lutsenko","Internal Affairs","interior",2005-02-04,2006-12-01,"yushchenko",FALSE,FALSE,0.591375770020534,1.82067077344285,1.22929500342231,"outlived it"
"Vasyl Tsushko","Internal Affairs","interior",2006-12-01,2007-12-18,"yushchenko",FALSE,FALSE,1.04585900068446,1.04585900068446,0,"left with it"
"Yuriy Lutsenko","Internal Affairs","interior",2007-12-18,2010-01-29,"yushchenko",FALSE,FALSE,2.22861054072553,2.11635865845311,-0.112251882272416,"left early"
"Mykhailo Kliuyev","Internal Affairs","interior",2010-01-29,2010-03-11,"yushchenko",TRUE,FALSE,0.112251882272416,0.112251882272416,0,"left with it"
"Anatoliy Mohyliov","Internal Affairs","interior",2010-03-11,2011-11-07,"yanukovych",FALSE,FALSE,2.78986995208761,1.65913757700205,-1.13073237508556,"left early"
"Vitaliy Zakharchenko","Internal Affairs","interior",2011-11-07,2014-02-21,"yanukovych",FALSE,FALSE,1.13073237508556,2.29158110882957,1.16084873374401,"outlived it"
"Arsen Avakov","Internal Affairs","interior",2014-02-22,2021-07-15,"poroshenko",FALSE,FALSE,0.774811772758385,7.39219712525667,6.61738535249829,"outlived it"
"Denys Monastyrskyi","Internal Affairs","interior",2021-07-16,2023-01-18,"zelensky",FALSE,FALSE,4.00273785078713,1.50855578370979,-2.49418206707734,"left early"
"Ihor Klymenko","Internal Affairs","interior",2023-01-18,2026-07-16,"zelensky",FALSE,FALSE,2.49418206707734,3.49075975359343,0.996577686516085,"outlived it"
"Oleksandr Kovalenko","Finance","finance",1991-08-24,1991-10-29,"kravchuk",FALSE,FALSE,1.1088295687885,0.180698151950719,-0.928131416837782,"left early"
"Hryhoriy Piatachenko","Finance","finance",1991-10-29,1994-07-06,"kravchuk",FALSE,FALSE,0.928131416837782,2.68583162217659,1.75770020533881,"outlived it"
"Petro Hermanchuk","Finance","finance",1994-07-06,1996-06-18,"kravchuk",FALSE,FALSE,0.665297741273101,1.95208761122519,1.28678986995209,"outlived it"
"Valentyn Koronevskyi","Finance","finance",1996-06-18,1997-02-25,"kuchma",FALSE,FALSE,1.03764544832307,0.68993839835729,-0.347707049965777,"left early"
"Ihor Mitiukov","Finance","finance",1997-02-26,2001-12-27,"kuchma",FALSE,FALSE,0.344969199178645,4.83230663928816,4.48733744010951,"outlived it"
"Ihor Yushko","Finance","finance",2001-12-27,2002-11-26,"kuchma",FALSE,FALSE,0.900752908966461,0.914442162902122,0.0136892539356606,"left with it"
"Mykola Azarov","Finance","finance",2002-11-26,2005-02-03,"kuchma",FALSE,FALSE,2.11088295687885,2.19028062970568,0.0793976728268309,"outlived it"
"Viktor Pynzenyk","Finance","finance",2005-02-04,2006-08-04,"yushchenko",FALSE,FALSE,0.591375770020534,1.49486652977413,0.903490759753593,"outlived it"
"Mykola Azarov","Finance","finance",2006-08-04,2007-12-18,"yushchenko",FALSE,FALSE,1.37166324435318,1.37166324435318,0,"left with it"
"Victor Pynzenyk","Finance","finance",2007-12-18,2009-02-17,"yushchenko",FALSE,FALSE,2.22861054072553,1.16906228610541,-1.05954825462012,"left early"
"Ihor Umansky","Finance","finance",2009-04-08,2010-03-11,"yushchenko",TRUE,FALSE,0.922655715263518,0.922655715263518,0,"left with it"
"Fedir Yaroshenko","Finance","finance",2010-03-11,2012-01-18,"yanukovych",FALSE,FALSE,2.78986995208761,1.85626283367556,-0.933607118412047,"left early"
"Valeriy Khoroshkovskyi","Finance","finance",2012-01-18,2012-02-22,"yanukovych",FALSE,FALSE,0.933607118412047,0.0958247775496235,-0.837782340862423,"left early"
"Yuriy Kolobov","Finance","finance",2012-02-28,2014-02-27,"yanukovych",FALSE,FALSE,0.82135523613963,1.99863107460643,1.1772758384668,"outlived it"
"Oleksandr Shlapak","Finance","finance",2014-02-27,2014-12-02,"poroshenko",FALSE,FALSE,0.761122518822724,0.761122518822724,0,"left with it"
"Natalie Jaresko","Finance","finance",2014-12-02,2016-04-14,"poroshenko",FALSE,FALSE,1.36618754277892,1.36618754277892,0,"left with it"
"Oleksandr Danylyuk","Finance","finance",2016-04-14,2018-06-07,"poroshenko",FALSE,FALSE,3.37303216974675,2.14647501711157,-1.22655715263518,"left early"
"Oksana Markarova","Finance","finance",2018-06-07,2020-03-04,"poroshenko",FALSE,FALSE,1.22655715263518,1.74127310061602,0.514715947980835,"outlived it"
"Ihor Umansky","Finance","finance",2020-03-04,2020-03-30,"zelensky",FALSE,FALSE,5.36892539356605,0.0711841204654346,-5.29774127310062,"left early"
"Serhii Marchenko","Finance","finance",2020-03-30,NA,"zelensky",FALSE,TRUE,5.29774127310062,6.2943189596167,0.996577686516085,"outlived it"
"Vitaliy Boiko","Justice","justice",1991-08-24,1992-03-20,"kravchuk",FALSE,FALSE,1.1088295687885,0.572210814510609,-0.536618754277892,"left early"
"Volodymyr Kampo","Justice","justice",1992-03-20,1992-04-21,"kravchuk",FALSE,FALSE,0.536618754277892,0.0876112251882272,-0.449007529089665,"left early"
"Wasyl Onopenko","Justice","justice",1992-10-27,1995-08-07,"kravchuk",FALSE,FALSE,0.903490759753593,2.77618069815195,1.87268993839836,"outlived it"
"Serhii Holovatyi","Justice","justice",1995-09-27,1997-08-21,"kuchma",FALSE,FALSE,0.668035592060233,1.90006844626968,1.23203285420945,"outlived it"
"Suzanna Stanik","Justice","justice",1997-08-21,2002-05-07,"kuchma",FALSE,FALSE,2.33538672142368,4.70910335386721,2.37371663244353,"outlived it"
"Oleksandr Lavrynovych","Justice","justice",2002-05-07,2005-02-03,"kuchma",FALSE,FALSE,0.542094455852156,2.7460643394935,2.20396988364134,"outlived it"
